run_id,baseline_run_id,optimizer_id,tau,constraint_id,oracle_confirmed,surrogate_success,false_success,mean_distance,median_distance,mean_l1_distance,mean_active_coordinates,oracle_success_drop,recoverability
one_shot_gradient_bracket_v1_tau0.60_labelblind,,one_shot_gradient_bracket_v1,0.6,none,146,148,7,0.30096233333333333,0.3095238095238094,0.8128510407834786,11.695,,
penalized_proximity_tau0.75_labelblind,,penalized_proximity_descent_v1,0.75,none,158,151,0,0.29312605953454307,0.2875547802337852,0.7684695708086831,11.705,,
trust_region_tau0.90_labelblind,,trust_region_hybrid_v1,0.9,none,200,200,0,0.6255,0.49999999999999994,0.9353611426593748,5.955,,
sphere_shrink_tau0.90_labelblind,,random_sphere_coordinate_shrink_v1,0.9,none,179,166,0,0.5606749002763609,0.5195479464286872,1.237150656286783,6.315,,
one_shot_gradient_bracket_v1_tau0.60_labelblind_lock_grad_bottom_10,one_shot_gradient_bracket_v1_tau0.60_labelblind,one_shot_gradient_bracket_v1,0.6,grad_bottom_10,176,184,9,0.3786725714285714,0.3666666666666666,0.6499588054700505,2.94,-30,1.0
one_shot_gradient_bracket_v1_tau0.60_labelblind_lock_grad_bottom_11,one_shot_gradient_bracket_v1_tau0.60_labelblind,one_shot_gradient_bracket_v1,0.6,grad_bottom_11,190,199,9,0.5189293333333334,0.523809523809524,0.7324721095544171,1.97,-44,0.9931506849315068
one_shot_gradient_bracket_v1_tau0.60_labelblind_lock_grad_bottom_12,one_shot_gradient_bracket_v1_tau0.60_labelblind,one_shot_gradient_bracket_v1,0.6,grad_bottom_12,194,200,6,0.4254994285714286,0.43333333333333324,0.4254994285714286,0.99,-48,1.0
one_shot_gradient_bracket_v1_tau0.60_labelblind_lock_grad_top_3,one_shot_gradient_bracket_v1_tau0.60_labelblind,one_shot_gradient_bracket_v1,0.6,grad_top_3,100,95,7,0.4006776428571429,0.26190476190476203,0.9440236369031803,9.3,46,0.6438356164383562
one_shot_gradient_bracket_v1_tau0.60_labelblind_lock_lock_main_bracket_user,one_shot_gradient_bracket_v1_tau0.60_labelblind,one_shot_gradient_bracket_v1,0.6,lock_main_bracket_user,145,143,6,0.39337716666666667,0.3476190476190477,0.6871118498601603,6.47,1,0.8356164383561644
one_shot_gradient_bracket_v1_tau0.60_labelblind_lock_lock_pin_user,one_shot_gradient_bracket_v1_tau0.60_labelblind,one_shot_gradient_bracket_v1,0.6,lock_pin_user,135,138,8,0.30495300000000003,0.3857142857142858,0.7266605402374781,9.085,11,0.9178082191780822
one_shot_gradient_bracket_v1_tau0.60_labelblind_lock_lock_splint_user,one_shot_gradient_bracket_v1_tau0.60_labelblind,one_shot_gradient_bracket_v1,0.6,lock_splint_user,150,154,8,0.3085094761904762,0.319047619047619,0.7807885749675906,9.13,-4,0.9931506849315068
penalized_proximity_tau0.75_labelblind_lock_grad_bottom_10,penalized_proximity_tau0.75_labelblind,penalized_proximity_descent_v1,0.75,grad_bottom_10,177,177,0,0.3303419050724122,0.30838837409107445,0.5546028953181917,2.955,-19,0.9620253164556962
penalized_proximity_tau0.75_labelblind_lock_grad_bottom_11,penalized_proximity_tau0.75_labelblind,penalized_proximity_descent_v1,0.75,grad_bottom_11,179,179,0,0.38502662120431397,0.36148328489702813,0.5296683558171806,1.99,-21,0.9493670886075949
penalized_proximity_tau0.75_labelblind_lock_grad_bottom_12,penalized_proximity_tau0.75_labelblind,penalized_proximity_descent_v1,0.75,grad_bottom_12,159,159,0,0.3089999999999998,0.23999999999999846,0.3089999999999998,1.0,-1,0.8481012658227848
penalized_proximity_tau0.75_labelblind_lock_grad_top_3,penalized_proximity_tau0.75_labelblind,penalized_proximity_descent_v1,0.75,grad_top_3,105,89,0,0.3385514468022035,0.23999999999947907,0.7640551950498999,8.725,53,0.6455696202531646
penalized_proximity_tau0.75_labelblind_lock_lock_main_bracket_user,penalized_proximity_tau0.75_labelblind,penalized_proximity_descent_v1,0.75,lock_main_bracket_user,137,126,0,0.3105205728580306,0.2689017312560678,0.5130430878906121,6.25,21,0.810126582278481
penalized_proximity_tau0.75_labelblind_lock_lock_pin_user,penalized_proximity_tau0.75_labelblind,penalized_proximity_descent_v1,0.75,lock_pin_user,147,143,0,0.3067191464620663,0.23999999990783072,0.7113306265683339,8.82,11,0.9240506329113924
penalized_proximity_tau0.75_labelblind_lock_lock_splint_user,penalized_proximity_tau0.75_labelblind,penalized_proximity_descent_v1,0.75,lock_splint_user,168,164,0,0.3010395898867104,0.28862238920252586,0.7349709691711354,9.41,-10,1.0
sphere_shrink_tau0.90_labelblind_lock_grad_bottom_10,sphere_shrink_tau0.90_labelblind,random_sphere_coordinate_shrink_v1,0.9,grad_bottom_10,200,200,0,0.43881583991177847,0.42753282951435034,0.5326364976599725,2.04,-21,1.0
sphere_shrink_tau0.90_labelblind_lock_grad_bottom_11,sphere_shrink_tau0.90_labelblind,random_sphere_coordinate_shrink_v1,0.9,grad_bottom_11,200,200,0,0.4505045159728151,0.45433263509944577,0.4808793363804058,1.42,-21,1.0
sphere_shrink_tau0.90_labelblind_lock_grad_bottom_12,sphere_shrink_tau0.90_labelblind,random_sphere_coordinate_shrink_v1,0.9,grad_bottom_12,200,200,0,0.47618650069581775,0.48889064788818337,0.47618650069581775,1.0,-21,1.0
sphere_shrink_tau0.90_labelblind_lock_grad_top_3,sphere_shrink_tau0.90_labelblind,random_sphere_coordinate_shrink_v1,0.9,grad_top_3,128,108,0,0.9127836150896144,0.846401258081446,1.9903661983020031,6.93,51,0.7039106145251397
sphere_shrink_tau0.90_labelblind_lock_lock_main_bracket_user,sphere_shrink_tau0.90_labelblind,random_sphere_coordinate_shrink_v1,0.9,lock_main_bracket_user,161,150,0,0.6077595826892889,0.5280890012177208,1.0906803664702607,4.12,18,0.8603351955307262
sphere_shrink_tau0.90_labelblind_lock_lock_pin_user,sphere_shrink_tau0.90_labelblind,random_sphere_coordinate_shrink_v1,0.9,lock_pin_user,174,164,0,0.6061113710710405,0.5466223328604349,1.1739744848453073,5.085,5,0.9217877094972067
sphere_shrink_tau0.90_labelblind_lock_lock_splint_user,sphere_shrink_tau0.90_labelblind,random_sphere_coordinate_shrink_v1,0.9,lock_splint_user,198,196,0,0.5010866274502619,0.48575910460400284,0.8867955774282362,4.345,-19,0.9888268156424581
trust_region_tau0.90_labelblind_lock_grad_bottom_10,trust_region_tau0.90_labelblind,trust_region_hybrid_v1,0.9,grad_bottom_10,200,200,0,0.5934999999999998,0.4999999999999999,0.8072055817078262,2.62,0,1.0
trust_region_tau0.90_labelblind_lock_grad_bottom_11,trust_region_tau0.90_labelblind,trust_region_hybrid_v1,0.9,grad_bottom_11,200,200,0,0.6264999999999997,0.4999999999999999,0.7578274934139735,1.915,0,1.0
trust_region_tau0.90_labelblind_lock_grad_bottom_12,trust_region_tau0.90_labelblind,trust_region_hybrid_v1,0.9,grad_bottom_12,200,200,0,0.6842500000000001,0.5000000000000002,0.6842500000000001,1.0,0,1.0
trust_region_tau0.90_labelblind_lock_grad_top_3,trust_region_tau0.90_labelblind,trust_region_hybrid_v1,0.9,grad_top_3,195,191,0,1.4809999999999999,1.0,2.028825819269149,4.195,5,0.975
trust_region_tau0.90_labelblind_lock_lock_main_bracket_user,trust_region_tau0.90_labelblind,trust_region_hybrid_v1,0.9,lock_main_bracket_user,200,200,0,0.7642499999999999,0.49999999999999994,0.9695302183827931,3.42,0,1.0
trust_region_tau0.90_labelblind_lock_lock_pin_user,trust_region_tau0.90_labelblind,trust_region_hybrid_v1,0.9,lock_pin_user,200,200,0,0.6809999999999999,0.9999999999999996,1.0096274156849672,5.275,0,1.0
trust_region_tau0.90_labelblind_lock_lock_splint_user,trust_region_tau0.90_labelblind,trust_region_hybrid_v1,0.9,lock_splint_user,200,200,0,0.6259999999999999,0.49999999999999994,0.8793947415276553,4.825,0,1.0
