acquisition_events_mean,acquisition_events_std,budget,mae_bin_clean_or_below_threshold_mean,mae_bin_clean_or_below_threshold_std,mae_bin_large_mean,mae_bin_large_std,mae_bin_moderate_mean,mae_bin_moderate_std,mae_bin_small_mean,mae_bin_small_std,mae_bin_tiny_mean,mae_bin_tiny_std,mae_dominant_bracket__main_pin_mean,mae_dominant_bracket__main_pin_std,mae_dominant_bracket__splint_mean,mae_dominant_bracket__splint_std,mae_dominant_clean_mean,mae_dominant_clean_std,mae_dominant_main_pin__splint_mean,mae_dominant_main_pin__splint_std,mae_log_mean,mae_log_std,mae_norm_mean,mae_norm_std,median_ae_norm_mean,median_ae_norm_std,n_bin_clean_or_below_threshold_mean,n_bin_clean_or_below_threshold_std,n_bin_large_mean,n_bin_large_std,n_bin_moderate_mean,n_bin_moderate_std,n_bin_small_mean,n_bin_small_std,n_bin_tiny_mean,n_bin_tiny_std,n_dominant_bracket__main_pin_mean,n_dominant_bracket__main_pin_std,n_dominant_bracket__splint_mean,n_dominant_bracket__splint_std,n_dominant_clean_mean,n_dominant_clean_std,n_dominant_main_pin__splint_mean,n_dominant_main_pin__splint_std,n_mean,n_seeds,n_std,near_threshold_mae_norm_mean,near_threshold_mae_norm_std,pearson_norm_mean,pearson_norm_std,rmse_log_mean,rmse_log_std,rmse_norm_mean,rmse_norm_std,series,spearman_norm_mean,spearman_norm_std,strategy,train_frac_clean_or_below_threshold_mean,train_frac_clean_or_below_threshold_std,train_frac_large_mean,train_frac_large_std,train_frac_moderate_mean,train_frac_moderate_std,train_frac_small_mean,train_frac_small_std,train_frac_tiny_mean,train_frac_tiny_std,train_overlap_positive_rate_mean,train_overlap_positive_rate_std
32.0,0.0,10000,2.3478489902704485e-05,2.4250446232523085e-06,0.0032783484817237815,0.0004911709165741066,0.0008038579166777109,2.5964146868157644e-05,0.0002982404672060196,3.4413240704293846e-06,0.00011804485257058601,5.979113643988187e-06,0.002209902745220107,0.00027507534175046046,0.0008681835589753395,4.41759529123985e-05,2.3478489902704485e-05,2.4250446232523085e-06,0.0013230378430648092,0.00017834910654169122,0.3922550157711626,0.008118801047849183,0.0007704544876011504,8.209141692814537e-05,6.618579974807896e-05,3.6746375015273114e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00010881597424936846,5.485922449105631e-06,0.9392675011840956,0.0020648912610976206,0.7036537997631281,0.024064800843653075,0.0021379783855003205,0.00035151658867031926,active_base10000,0.8433005859880233,0.0051450071535205765,log_variance,0.48133333333333334,0.004034297405441926,0.17703333333333335,0.0036917325050562456,0.1898333333333333,0.0034682688605252136,0.11599999999999999,0.002760434748368456,0.0358,0.0008524474568362946,0.5186666666666667,0.00403429740544195
32.0,0.0,12500,2.6842618522269347e-05,7.347047168895793e-07,0.002864803891589627,0.0003508460153247284,0.0007975835904969541,8.252674636194652e-05,0.00031487830602617835,7.752997903515996e-06,0.0001301786193583557,1.056713637759496e-06,0.0017182419456174911,0.00014589807348601325,0.0008539583201162432,1.0820643203633783e-05,2.6842618522269347e-05,7.347047168895793e-07,0.0012911597912901778,0.00018041311027397776,0.3931376356407947,0.019033691277568942,0.0007016460792494874,7.61586453940509e-05,7.32624842688286e-05,5.166691879574722e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00010776655663766047,1.9755309459007085e-06,0.947456851944443,0.008970534499332198,0.685281505291481,0.01159763804890169,0.001951725377313097,0.0003631754762701863,active_base10000,0.8465169405166776,0.006781146535400956,log_variance,0.40546666666666664,0.003738853062400569,0.2841066666666667,0.0005890859209166533,0.18141333333333334,0.00408983563918596,0.09885333333333333,0.003387401495082753,0.030160000000000003,0.0002847220867208357,0.5945333333333332,0.0037388530624005586
32.0,0.0,15000,3.175933073353472e-05,6.61438517305848e-06,0.0033661088346245553,0.0007764874014244409,0.0009402688214369973,9.335234709439437e-05,0.000312861954777405,2.9532339785459746e-05,0.00012293498202528707,1.775467675334859e-05,0.0018104041136383685,9.08701576340388e-05,0.0008406051086794465,2.8505874960262333e-05,3.175933073353472e-05,6.61438517305848e-06,0.001605695315117371,0.0005007830857200829,0.43518914897871186,0.04242311510454474,0.0008171225504255967,0.0001583445759261531,9.013613127232627e-05,1.521401370062939e-05,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00011305701224959718,1.0734406989936821e-05,0.9318056968760554,0.02306774534042499,0.7292764482178455,0.04283652218711022,0.0023968566418166638,0.0008180522466752457,active_base10000,0.8341552911582116,0.011796450375975005,log_variance,0.3659777777777778,0.005754053858148112,0.33099999999999996,0.0013899107352099507,0.1842,0.00357066235166945,0.0916,0.004868340655782084,0.02722222222222222,0.0003541639433446488,0.6340222222222222,0.005754053858148108
32.0,0.0,3000,4.159538945085561e-05,9.25553669916009e-06,0.0034484964581098575,0.0006195763280890505,0.0009403324111461709,0.0001037810735526801,0.00037080504492439026,4.2794563916121864e-05,0.0001528052112253367,3.868648138914579e-05,0.002411417781743239,0.000729394467495778,0.0008450665046238524,3.2999890458405525e-05,4.159538945085561e-05,9.25553669916009e-06,0.0014528254600723524,0.00011115980058499612,0.461526116853397,0.018635174758396024,0.0008442537797095296,0.00011603579813782525,9.501963427283044e-05,4.875736177311845e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.0001351649095034474,7.9262475715474e-06,0.9233406909622324,0.02764228940233554,0.7981847524826274,0.019216192705049623,0.0024208419119059617,0.00045197322801985207,active_base3000,0.8309821739752867,0.0012199679096242828,log_variance,0.4814444444444444,0.005717635702341609,0.17966666666666667,0.0019051586888313694,0.18355555555555556,0.0034029761846919,0.11855555555555557,0.007390350732584841,0.03677777777777778,0.003937787810370967,0.5185555555555555,0.005717635702341563
32.0,0.0,5000,3.603674937924881e-05,1.2245018737194573e-06,0.003339578547919452,0.0007189020009689759,0.0009896839477071357,0.00011182313535269643,0.00035818502683435306,1.0031533948375341e-05,0.00014554113502638602,1.4010781444836924e-05,0.001669776036344375,0.00015520955223488142,0.0008788075821625458,4.784475193551937e-06,3.603674937924881e-05,1.2245018737194573e-06,0.0016824802456495748,0.0003928878166646836,0.4641595846126945,0.027349758497197108,0.0008301250227887995,0.00014454758516700342,9.330455092519212e-05,6.087485889902864e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.0001318105842200109,1.7666653915081978e-06,0.9288504043273499,0.024765854495679817,0.7885227323569701,0.012989026293545298,0.002267492135146586,0.0006137152882874902,active_base3000,0.8232294445771777,0.0025246110375247263,log_variance,0.3382666666666667,0.015711001099724873,0.3620666666666667,0.04482866146662076,0.18286666666666665,0.018686418121786265,0.09126666666666666,0.010099944994349668,0.025533333333333335,0.0026144895401503435,0.6617333333333334,0.01571100109972485
32.0,0.0,7500,3.105196833472514e-05,2.067179779151923e-06,0.0034912713676467848,0.00033982631593932656,0.001046946645745979,9.367270613916286e-05,0.0003220161943679547,1.8991314579483294e-05,0.00011742575986530751,1.73845179961892e-05,0.002008828412374694,0.0003015804518376732,0.0008745858623552411,3.1978398387567053e-05,3.105196833472514e-05,2.067179779151923e-06,0.0016557005037516614,0.00013438386954132844,0.4587917834983726,0.017403770520961447,0.0008593424446964624,7.039683409735283e-05,9.280317832841926e-05,2.1963334026905587e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00011772871281215261,4.359001671708399e-06,0.9188787085990494,0.013612622793574095,0.7634975765220622,0.0049919759861810015,0.0023970187888015227,0.00022969799794869144,active_base3000,0.8272209075848362,0.0026211361259501245,log_variance,0.3294222222222222,0.009020361055980333,0.3728444444444445,0.004984519244497442,0.18866666666666665,0.008772347124576987,0.08542222222222222,0.004246247435554203,0.023644444444444444,0.0013998236220465448,0.6705777777777778,0.009020361055980365
32.0,0.0,10000,3.2864940717268076e-05,1.7883761484866602e-06,0.0034822286886496676,0.00038156307135579244,0.001043204238179509,0.00011536103592518025,0.0003130863937521919,8.312220584785888e-06,0.00011037084248077154,1.3229971626373195e-05,0.0019028134846858947,0.00021375534388570527,0.0008676224475713034,2.7019870303096893e-05,3.2864940717268076e-05,1.7883761484866602e-06,0.0016850435602701436,0.00019967176670493514,0.4608869371093234,0.02226876485734002,0.0008566150715148971,8.589690756422289e-05,9.656757773276088e-05,5.2668688808618375e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00011346559823198202,2.042683211369997e-06,0.9262172906193459,0.01214850983272533,0.746103979287787,0.016617553655424982,0.002223936155359541,0.00027456090914449745,active_base3000,0.8306397103135884,0.0035352795644557596,log_variance,0.3167666666666667,0.008256445293762262,0.38870000000000005,0.004104469108991647,0.1834,0.00431508980207828,0.08486666666666666,0.005724993934979805,0.026266666666666664,0.002548637980482038,0.6832333333333334,0.008256445293762266
32.0,0.0,12500,3.533839851996255e-05,2.2013476660821295e-06,0.0035890506099648966,0.0001275417652595658,0.0009767043900765137,7.617639353272007e-05,0.0003067061509194738,9.307844242612342e-06,0.00012400250859988157,1.7325413104130257e-05,0.0018479899304626693,0.000253957264492043,0.0008481667092906448,3.4124014182869974e-05,3.533839851996255e-05,2.2013476660821295e-06,0.0017270316737239087,9.763935701363437e-05,0.4459405082708275,0.012842963962996874,0.0008636149424088071,2.8144328404492613e-05,9.121658126787224e-05,2.0169593494122265e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00011001182129406538,2.532483850307852e-06,0.9224080521042911,0.004574453340703822,0.7331231982418739,0.00922573220469683,0.002521631615691846,9.531990972579151e-05,active_base3000,0.8325038725641547,0.005190121286962872,log_variance,0.32050666666666666,0.01653522569815388,0.3821333333333334,0.023503879585199457,0.18000000000000002,0.005081102242624132,0.08949333333333333,0.007769844843295707,0.027866666666666665,0.0030006814040962246,0.6794933333333333,0.01653522569815393
32.0,0.0,15000,4.548124636538256e-05,1.0989414730423184e-05,0.0038067169951627056,0.0010438036142910625,0.0011155422371963994,0.00023819656254802662,0.0003199741171602681,1.5293305326721237e-05,0.0001067702287326329,2.48475465335296e-05,0.0021461677055994084,0.0003910624461654223,0.0008686051995858976,5.029310538111506e-05,4.548124636538256e-05,1.0989414730423184e-05,0.0018109628377665401,0.0005917013293803042,0.5342057149958993,0.10606326134153228,0.0009332009712236408,0.00023019266451762216,0.00011901445274512905,2.8753818270703034e-05,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00012675284241905947,1.6936401823600318e-05,0.9222617606310406,0.02481992391169168,0.8005517363321965,0.07698720937473204,0.0025510482797785777,0.0007277236130141865,active_base3000,0.819341573509663,0.01704149314019179,log_variance,0.3202888888888889,0.01371955439653585,0.37799999999999995,0.008317228883245681,0.18257777777777776,0.008056528676855048,0.09091111111111111,0.0062870433098752305,0.02822222222222222,0.0011704172517567725,0.679711111111111,0.013719554396535808
32.0,0.0,5000,3.837298397243147e-05,4.570465169085378e-06,0.003450718772189805,0.00062021657328688,0.0008621340674764333,2.745055682955167e-05,0.00039198289810556613,2.599768286273088e-05,0.0001777018213395557,1.915327579500539e-05,0.0018002550850479161,0.0002874182233049853,0.0008439756666596276,2.727727855614851e-05,3.837298397243147e-05,4.570465169085378e-06,0.0016441417076447126,0.0002287513735006222,0.42628497958650446,0.006466352204742302,0.000831919704019898,0.00010520826735775428,8.392937039995256e-05,8.498078354318836e-07,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00013113220489281124,8.63557111209886e-06,0.94184282962082,0.00925528431058293,0.7784016428612706,0.024727124166682407,0.0025570740514901714,0.0005450731728963285,active_base5000,0.8305224525488981,0.003733530001691232,log_variance,0.48360000000000003,0.006659329295557224,0.17733333333333334,0.0033038697848970272,0.18466666666666667,0.0003771236166328231,0.11873333333333334,0.0040835714216302796,0.035666666666666666,0.0016679994670929068,0.5164,0.006659329295557198
32.0,0.0,7500,2.6552425814727577e-05,1.0016219454543488e-06,0.0031794543782546307,0.00019084321827246543,0.0009105294270384815,4.828163011670159e-05,0.00033238273228030133,1.050370356973144e-05,0.00013810374492654527,1.322056369987041e-05,0.0016131866953845826,0.0001343516466507835,0.0008953102754129037,3.115127327333856e-05,2.6552425814727577e-05,1.0016219454543488e-06,0.0015593228917036284,0.00011084857006755327,0.42716176867610983,0.009809825930524672,0.0007795906381670086,4.110992781974528e-05,8.055629232709786e-05,3.36804212712478e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00012138678864824912,4.323979557483515e-06,0.925493216497863,0.01527685559371766,0.74270677541505,0.011181187349038805,0.002236905548079635,0.0003052198388002514,active_base5000,0.8342860169554406,0.001473243597844728,log_variance,0.35728888888888893,0.01115670644793669,0.35142222222222225,0.008617180656637977,0.17573333333333332,0.005909941404735529,0.08924444444444445,0.003472359997266594,0.026311111111111115,0.0013124287164651917,0.6427111111111111,0.011156706447936664
32.0,0.0,10000,3.279119778408015e-05,3.267085362008985e-06,0.003629913124859531,0.0003778824278608757,0.0010172429151041103,9.837234102959612e-05,0.00031252634569810196,1.6371715477087647e-05,0.00011048786660422157,5.2761066013911106e-06,0.001918986983263393,0.0001670024239442597,0.0008556642615404406,2.954021787501413e-05,3.279119778408015e-05,3.267085362008985e-06,0.0017448676716643114,0.00017418475755732793,0.45318598360175927,0.03474374069029117,0.0008772696440529306,7.966433511062569e-05,9.73043315752875e-05,9.771872090951974e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00011205128342975017,7.404540221788778e-06,0.9195323042599716,0.010882152482625662,0.7332065712133167,0.03807069327391833,0.002575395227887112,0.0003138751501703433,active_base5000,0.8350091134643645,0.006719117299841775,log_variance,0.3377333333333333,0.009537411715042096,0.36599999999999994,0.011812140647091303,0.18356666666666666,0.0035649528592800344,0.0861,0.0032259365565160576,0.026600000000000002,0.001272792206135786,0.6622666666666667,0.009537411715042096
32.0,0.0,12500,3.1449162956291354e-05,4.360780730130252e-06,0.0031890667656043186,0.0002498444257013591,0.0008934442791204304,8.732247047306027e-05,0.0003056139589720694,1.5933254316029673e-05,0.00012658225775836668,2.4422907374165466e-05,0.0017727261283168143,0.00022223272655445695,0.0008597965052374723,3.284676820269077e-05,3.1449162956291354e-05,4.360780730130252e-06,0.001492613368667044,8.997804357239532e-05,0.4246140216359144,0.009542515887745927,0.0007767718737089371,5.477408398269533e-05,8.453924480515222e-05,4.5745061570463846e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00010885797509517716,3.6078735278452428e-06,0.9370287258613107,0.008271824170722425,0.7089447032491204,0.0071642667907684775,0.0021847607077348087,9.925312064691681e-05,active_base5000,0.8355154803326191,0.003755187554000137,log_variance,0.3407466666666667,0.01562989727697814,0.3596,0.017157715465644024,0.18152,0.0031114412523245063,0.09109333333333335,0.0043457667780138496,0.027039999999999998,0.0007946487693734052,0.6592533333333334,0.015629897276978156
32.0,0.0,15000,3.7599460081385584e-05,7.0938782144748635e-06,0.0036376691880502625,0.0007611024727259889,0.0010351476354109946,0.00016656437078292976,0.00030447650636890316,2.728003161747068e-05,0.00010967891250563143,9.909478014974673e-07,0.002018267541323237,2.040620115913497e-05,0.0008534216602374741,4.2044762221143007e-05,3.7599460081385584e-05,7.0938782144748635e-06,0.0017202288392645082,0.0004950515816824595,0.4783148642322285,0.07797771820799168,0.0008832800425858882,0.00016949289068566258,0.00010416066046066892,2.2603578182910102e-05,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00011930982147527714,1.615190572752288e-05,0.9252753144180835,0.01956310709557617,0.7656101762574012,0.07896852127028511,0.00248502111815705,0.00053039902390673,active_base5000,0.8239956042878239,0.017522661252656425,log_variance,0.32797777777777776,0.007298164829362456,0.3708,0.017796961871394002,0.18002222222222222,0.003368847844956658,0.09386666666666665,0.005550842445237647,0.02733333333333333,0.002223110933404409,0.6720222222222222,0.007298164829362475
32.0,0.0,10000,2.3478489902704485e-05,2.4250446232523085e-06,0.0032783484817237815,0.0004911709165741066,0.0008038579166777109,2.5964146868157644e-05,0.0002982404672060196,3.4413240704293846e-06,0.00011804485257058601,5.979113643988187e-06,0.002209902745220107,0.00027507534175046046,0.0008681835589753395,4.41759529123985e-05,2.3478489902704485e-05,2.4250446232523085e-06,0.0013230378430648092,0.00017834910654169122,0.3922550157711626,0.008118801047849183,0.0007704544876011504,8.209141692814537e-05,6.618579974807896e-05,3.6746375015273114e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00010881597424936846,5.485922449105631e-06,0.9392675011840956,0.0020648912610976206,0.7036537997631281,0.024064800843653075,0.0021379783855003205,0.00035151658867031926,active_base10000,0.8433005859880233,0.0051450071535205765,near_threshold_log_variance,0.48133333333333334,0.004034297405441926,0.17703333333333335,0.0036917325050562456,0.1898333333333333,0.0034682688605252136,0.11599999999999999,0.002760434748368456,0.0358,0.0008524474568362946,0.5186666666666667,0.00403429740544195
32.0,0.0,12500,2.6250055659607282e-05,1.6467976210165885e-06,0.0037745135072515105,0.0004812106209140036,0.0007851762630629709,7.965769162317155e-05,0.00028498672502240196,3.755050511898797e-06,0.00011693780456702994,1.6339582703660223e-05,0.0025189344980364897,0.0005512518801192323,0.0008009089312634542,3.182779500023072e-05,2.6250055659607282e-05,1.6467976210165885e-06,0.001471246160933081,0.00010605255899308051,0.37879132843972513,0.014504907434723713,0.0008526900349036377,9.793684609957624e-05,6.798374427792926e-05,6.407030622492324e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,9.726003943609969e-05,2.254310716551654e-06,0.9179976460702798,0.015158841669748761,0.6605714388912618,0.015619828415846238,0.002694701653450674,0.00037086162004699064,active_base10000,0.8496470516498819,0.007789084161334327,near_threshold_log_variance,0.4460266666666666,0.009833023723939432,0.1752,0.009792731998783583,0.22272,0.014511567799517738,0.11952,0.006649471156916668,0.036533333333333334,0.0016708746877675238,0.5539733333333333,0.00983302372393939
32.0,0.0,15000,2.4985271087506306e-05,3.998315954257985e-06,0.003750149688285032,0.0001442597622813595,0.0007875837337325992,4.195666260473502e-05,0.0002856430568321835,2.5532120696080204e-05,0.00011676460996781788,1.5222682360995676e-05,0.002412255330080673,0.0003459144027447248,0.0008096368354371565,1.412297795238542e-05,2.4985271087506306e-05,3.998315954257985e-06,0.0014971754181486699,4.4306231619073265e-05,0.3719554326857089,0.020696446899126784,0.000848378341818987,3.363262605294815e-05,6.94776948269767e-05,7.706844249600609e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,9.376290972193109e-05,8.414618217209194e-06,0.914632599651504,0.011869038209301085,0.6545140404937766,0.02995324102991788,0.00264583799861878,8.817804652226774e-05,active_base10000,0.8479105578524222,0.008541545666649119,near_threshold_log_variance,0.43297777777777774,0.009295372537842898,0.15357777777777779,0.006547000066942352,0.23782222222222224,0.007880652977896224,0.1335111111111111,0.0062330857546396175,0.042111111111111106,0.002969640623391787,0.5670222222222222,0.009295372537842878
32.0,0.0,3000,4.159538945085561e-05,9.25553669916009e-06,0.0034484964581098575,0.0006195763280890505,0.0009403324111461709,0.0001037810735526801,0.00037080504492439026,4.2794563916121864e-05,0.0001528052112253367,3.868648138914579e-05,0.002411417781743239,0.000729394467495778,0.0008450665046238524,3.2999890458405525e-05,4.159538945085561e-05,9.25553669916009e-06,0.0014528254600723524,0.00011115980058499612,0.461526116853397,0.018635174758396024,0.0008442537797095296,0.00011603579813782525,9.501963427283044e-05,4.875736177311845e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.0001351649095034474,7.9262475715474e-06,0.9233406909622324,0.02764228940233554,0.7981847524826274,0.019216192705049623,0.0024208419119059617,0.00045197322801985207,active_base3000,0.8309821739752867,0.0012199679096242828,near_threshold_log_variance,0.4814444444444444,0.005717635702341609,0.17966666666666667,0.0019051586888313694,0.18355555555555556,0.0034029761846919,0.11855555555555557,0.007390350732584841,0.03677777777777778,0.003937787810370967,0.5185555555555555,0.005717635702341563
32.0,0.0,5000,2.9572996957157634e-05,3.859450568298474e-06,0.0038625168661807017,0.0005579799919128716,0.0008699111136108332,0.00012304370553749055,0.00029768770623776666,1.638839731101613e-05,0.0001304890474664241,1.3941302490974125e-05,0.0022714985767776047,0.0005947773164798575,0.0007963316732414005,2.2824603632593638e-05,2.9572996957157634e-05,3.859450568298474e-06,0.0016641068254865908,0.00020094483538612943,0.39797676491914596,0.020848471336362518,0.0008874235493360449,0.00011541042977888724,7.731570682760018e-05,6.1032445225500715e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.0001026179071602062,4.3027840905313025e-06,0.9054208852667548,0.034141505378397344,0.6938190270568535,0.02091629890414143,0.0027784522123890203,0.0004226924094860983,active_base3000,0.8448802542432099,0.0034759692964363626,near_threshold_log_variance,0.4937333333333333,0.02110060557319518,0.13893333333333335,0.013064285497322674,0.2021333333333333,0.026919303276438804,0.12506666666666666,0.0082143505863553,0.04013333333333333,0.006421491692399481,0.5062666666666668,0.021100605573195208
