action,asm_final_assemblable,asm_final_overlap_norm,asm_stage_success,asm_surrogate_crossed_tau,cycle,overlap_method,overlap_pct_reduction,overlap_stage_final_norm,overlap_stage_success,reintroduced_overlap,sample_id,start_assemblable,start_overlap_norm,start_relaxed_ok
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_003921,False,0.006188461492057921,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_003921,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_003921,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_000565,False,0.009548101642068495,True
assemblability,True,0.0024745880079943892,False,True,2,hybrid_lite,,,,True,t25h2_000565,False,0.0,True
overlap,,,,,3,hybrid_lite,100.0,0.0,True,,t25h2_000565,True,0.0024745880079943892,True
terminal_success,,,,,4,hybrid_lite,,,,,t25h2_000565,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_004654,False,0.03184774755714002,True
terminal_success,,,,,2,hybrid_lite,,,,,t25h2_004654,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_000366,False,0.004278954040421248,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_000366,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_000366,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_001143,False,3.2668085136749125e-05,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_001143,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_001143,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_000197,False,0.005594196872605992,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_000197,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_000197,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_003292,False,0.007050413928979483,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_003292,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_003292,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_002072,False,0.02524372517935806,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_002072,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_002072,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_002302,False,0.0007869878078370359,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_002302,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_002302,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_003352,False,4.295520441825859e-05,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_003352,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_003352,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_003788,False,0.0030374924544824375,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_003788,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_003788,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_004089,False,0.005359248724697623,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_004089,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_004089,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_001961,False,0.023983167084381214,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_001961,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_001961,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_002903,False,0.0005641009297881883,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_002903,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_002903,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_001711,False,1.5719244720850494e-05,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_001711,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_001711,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_004321,False,0.0024155231324607044,True
terminal_success,,,,,2,hybrid_lite,,,,,t25h2_004321,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_003972,False,0.004685941036129995,True
assemblability,True,0.00174127419357217,False,True,2,hybrid_lite,,,,True,t25h2_003972,False,0.0,True
overlap,,,,,3,hybrid_lite,100.0,0.0,True,,t25h2_003972,True,0.00174127419357217,True
terminal_success,,,,,4,hybrid_lite,,,,,t25h2_003972,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_002136,False,0.019212721237764525,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_002136,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_002136,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_001354,False,0.00042609435954753185,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_001354,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_001354,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_004196,False,3.864909422820819e-05,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_004196,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_004196,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_001884,False,0.0018225212855140951,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_001884,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_001884,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_001002,False,0.004449436342543583,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_001002,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_001002,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_004699,False,0.014574174455898266,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_004699,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_004699,True,0.0,True
overlap,,,,,1,hybrid_lite,99.99999999999999,0.0,True,,t25h2_002363,False,0.0001914744351513083,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_002363,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_002363,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_002226,False,3.8947693793571223e-05,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_002226,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_002226,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_004785,False,0.0017609383224890848,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_004785,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_004785,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_002564,False,0.0038568622734260856,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_002564,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_002564,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_001557,False,0.013047811086101296,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_001557,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_001557,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_003798,False,6.598729849760717e-05,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_003798,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_003798,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_001705,False,9.443020230150431e-06,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_001705,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_001705,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_004942,False,0.0016097142343559794,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_004942,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_004942,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_000607,False,0.035253796128652676,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_000607,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_000607,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_002589,False,0.012008051802605418,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_002589,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_002589,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_001059,False,6.583726854374188e-05,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_001059,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_001059,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_003359,False,4.8786344647385335e-05,True
assemblability,True,0.0005150992534510547,False,True,2,hybrid_lite,,,,True,t25h2_003359,False,0.0,True
overlap,,,,,3,hybrid_lite,100.0,0.0,True,,t25h2_003359,True,0.0005150992534510547,True
terminal_success,,,,,4,hybrid_lite,,,,,t25h2_003359,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_000317,False,0.0015089609692598097,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_000317,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_000317,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_004328,False,0.0046490526315681475,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_004328,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_004328,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_002972,False,0.008436499645493489,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_002972,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_002972,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_000258,False,0.0006750396038549414,True
terminal_success,,,,,2,hybrid_lite,,,,,t25h2_000258,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_001039,False,1.6275970066850343e-05,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_001039,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_001039,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_003450,False,0.0013504855706496053,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_003450,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_003450,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_000693,False,0.000930596417882308,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_000693,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_000693,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_004698,False,0.0075904452952843746,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_004698,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_004698,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_000581,False,0.013881342173973864,True
terminal_success,,,,,2,hybrid_lite,,,,,t25h2_000581,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_003862,False,3.4383405941509166e-05,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_003862,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_003862,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_003604,False,0.0008700633042287958,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_003604,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_003604,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_003576,False,0.0038822684264084332,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_003576,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_003576,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_004754,False,0.006090658650965418,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_004754,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_004754,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_001044,False,0.001217630121838477,True
terminal_success,,,,,2,hybrid_lite,,,,,t25h2_001044,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_000067,False,3.374496827429761e-05,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_000067,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_000067,True,0.0,True
